Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
Runta|KR 14 20 470 S|KR 14 20 30 S|KR 14 20 370 S
Baron Germania|CA|EL ARRABAL|EL ROQUE
Porvenir|EL ARRABAL|EL ARRABAL|VISTA HERMOSA
Porvenir|SAN MIGUEL|MONSERRATE|EL CARDONAL
Porvenir|SAN MIGUEL||LA PLANADA
Porvenir|SAN MIGUEL||EL LAGUITO
Porvenir|EL ARRABAL|EL ARRABAL|LA FORTUNA EL PORVENIR LT 10
Porvenir|MONSERRATE|SAN MIGUEL|EL RINCON
Porvenir|SAN MIGUEL|EL CARMEN|EL PINO
Baron Gallero||EL MANANTIAL|LAS PIEDRITAS
Runta|KR 14 20 30 S|SAN ANTONIO BALCONCITO|BTS 10E 040A
Porvenir|SAN MIGUEL||LOS HORNITOS
Runta Parte Alta|KR 14 20 470 S|KR 14 20 30 S|PIEDRA PARADA
Runta|KR 12 14 164 S||CLIMACO 3
Runta|LOS ENCENILLOS||LOS ENCENILLOS
Runta|EL LAURELITO|MJ 2|MJ 1
Baron Germania|EL RAQUE|EL ARRABAL|EL VERGEL
Porvenir|EL PANTANO||EL PANTANO
Baron Germania|EL ARRABAL|EL ARRABAL|LA PLANADA
Porvenir|SIBERIA|EL ARRABAL|SIBERIA
Chorro Blanco - La Primavera||EL MANANTIAL|MJ
La Hoya||EL ARRABAL|MONIQUIRA
Porvenir||EL ARRABAL|EL TRIANGULO
Runta||LA GRANJA|LA PENA
Runta||EL NARANJO|KR 12 14 260 S
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|LOS ENCENILLOS
Porvenir|||EL DIVISADOR
Runta||EL NARANJO|EL MORTINO
Porvenir||EL MILAGRO|LA PALMA
Runta|EL NARANJO||LA FALDA
Runta||EL NARANJO|HUERTA DE SAN ISIDRO
Runta|EL CAMPAMENTO VD RUNTA||CAMPO SOLO
Porvenir||EL ARRABAL|LA COLONIA
Runta Parte Alta|LA UNION|PITALITO|LA COLORADA
Runta Parte Alta|EL DIAMANTE|EL ARRABAL|EL TUNO
Runta Parte Alta|TERRENO|PITALITO|LA RAFA
Porvenir|SAN MIGUEL||LA PEDRERA
Porvenir||MJ|EL JARDIN
Porvenir|SIBERIA|EL ARRABAL|AGUA NUEVA
Runta||LA GRANJA|TRAYECTO 12
Runta|EL NARANJO|LA GRANJA|LA HUERTA
Runta|EL NARANJO|LA GRANJA|EL NARANJO
La Colorada|LC||LC
Porvenir|VITAL||ALIZAL
Porvenir|||LAS BANDERAS
Porvenir|BARIO EL MILAGRO|LC 3|BARIO EL MILAGRO
Porvenir|VITAL||VITAL
Porvenir|TERRENO||TERRENO
Runta||KR 4 7 353 S|KR 5A 7 359 S IN
Runta|||KR 13 11 14 S LC 3
Runta|EL NARANJO|KR 12 14 164 S|KR 12 11 130 S
Runta|KR 4 4 407 S||KR 4 4 407 S
